num_innings_CF,UZR_CF,playerid
1186.0,13.3,11489
716.0,7.4,10472
886.2,11.4,18030
894.2,7.3,11038
668.1,4.6,19287
1338.0,8.6,17620
509.2,6.1,14161
402.0,7.6,18900
394.2,0.2,16221
372.1,1.1,14735
718.2,-0.1,18721
599.0,4.8,17719
792.1,-0.1,18363
253.1,0.5,19599
199.1,1.2,19918
649.1,2.4,19262
182.0,1.5,14712
293.1,1.1,20308
1264.0,-5.7,17929
312.2,-0.1,19960
336.0,2.1,17023
678.2,2.9,12927
187.2,1.3,11445
210.2,2.2,10950
160.0,1.9,19346
592.2,4.1,9077
1133.2,-5.3,19326
1022.2,0.9,9241
106.0,1.4,13546
227.1,1.6,14854
212.0,-0.6,15082
653.0,2.3,17128
20.0,0.7,18171
819.1,-1.2,11476
575.1,-1.0,20043
195.1,1.2,4866
327.2,0.3,12856
341.0,-1.5,16947
722.0,7.1,12984
92.0,1.8,17723
133.1,0.5,16530
112.0,-0.7,14109
73.1,-1.4,19931
295.0,1.6,27461
169.1,1.9,4922
89.0,1.5,19577
181.0,-1.0,13770
386.0,1.5,16153
210.0,0.4,19348
248.1,1.5,15104
17.0,0.8,19818
177.2,-0.1,15124
164.1,0.3,5913
323.0,0.1,17954
62.0,0.3,10762
8.0,1.4,12719
83.1,-0.6,16446
1.0,0.2,19615
28.0,-0.2,16623
674.2,1.8,15998
52.2,0.9,19956
91.0,0.1,2967
112.1,1.8,13675
20.1,0.8,17216
40.1,0.3,23378
401.2,0.4,12434
470.1,-1.5,5384
208.1,0.3,17932
63.2,0.0,19151
15.0,-0.3,14350
18.0,0.3,20321
168.1,-0.1,19948
67.0,0.9,17273
22.0,-0.6,18063
212.0,1.3,13611
1.0,0.1,11241
29.0,1.3,16285
17.0,0.2,9952
5.0,-0.3,10030
13.0,0.2,18401
7.0,0.1,13066
2.0,0.2,19968
3.0,-0.2,19290
10.2,0.0,17326
9.0,0.4,5760
1.0,0.0,14843
2.1,0.2,11400
6.0,0.0,13590
5.0,,18889
4.0,0.1,13012
4.0,0.0,16729
4.0,,19528
25.0,0.2,16429
8.0,0.2,13744
1.1,,5222
0.1,,17022
0.1,,21127
2.1,,15654
108.0,-1.9,19928
10.0,0.1,20501
11.0,-0.2,20047
241.1,0.8,10199
3.2,-0.4,20536
11.2,0.0,12037
16.0,-0.1,18027
8.0,0.0,10700
3.0,0.1,21479
3.0,-0.2,17975
18.0,-0.6,12174
38.2,-1.8,17452
19.0,0.0,18054
199.1,-1.8,19600
164.0,-1.3,12144
2.0,-0.1,8418
89.0,0.1,11859
30.0,-0.7,19363
103.0,-0.6,21622
1043.1,-2.5,18564
48.0,0.4,9256
110.1,-1.2,15429
39.1,-1.4,12092
50.0,0.6,21558
52.2,0.1,14453
30.2,-0.3,12225
568.0,0.9,20202
28.0,-1.0,18345
45.1,0.0,19955
20.0,0.8,3892
81.2,-0.8,15274
283.0,-3.7,11339
29.2,-1.0,14320
295.0,-0.4,10155
162.2,-0.4,15487
56.1,0.2,17548
45.2,0.3,8553
272.2,0.1,5297
104.0,0.4,10322
64.0,-1.0,21614
47.0,-1.0,15464
404.2,-0.5,15794
56.0,-1.1,19709
23.2,-0.7,15730
294.0,-2.8,19508
24.0,-1.0,19698
50.0,-2.1,19522
40.1,-0.3,5223
10.0,-1.2,8202
501.0,-3.9,20126
158.0,-0.8,15640
168.0,-0.2,14477
40.0,-0.9,16375
147.2,-1.8,10815
94.0,0.0,17098
123.1,-0.5,15518
155.1,-1.2,16424
13.0,-0.8,18126
132.0,-2.1,19260
248.0,-1.6,13768
40.1,-2.5,14329
12.0,-0.6,14691
91.2,-0.6,11379
237.0,-2.3,14818
215.0,-3.7,24617
60.1,0.2,15482
110.1,-1.3,18353
46.0,-0.6,19878
190.2,-0.6,19293
150.1,-1.2,14387
240.1,-2.6,14352
816.1,-1.3,9927
645.1,-2.7,13359
108.0,-2.1,12160
735.1,-3.2,10243
194.1,-0.5,11899
423.0,-4.0,13757
674.2,-7.6,22558
337.0,-2.8,17027
152.0,-4.6,20233
438.2,-2.4,17919
357.0,-4.8,16939
222.2,-0.8,16337
205.1,-2.9,12858
252.0,-4.5,19892
534.2,-4.6,10323
513.1,-2.8,22168
567.1,-2.4,13613
