FRM_C,rSB_C,playerid
9.7,2,19352
12.0,-1,10059
8.6,0,11739
8.8,0,13338
8.8,0,13723
8.0,1,13265
8.3,2,16930
8.8,0,16725
5.3,1,9166
5.1,5,13755
5.8,1,12976
1.3,2,6887
-0.9,6,11680
1.8,1,19197
5.8,1,15674
3.9,2,2829
-2.0,3,7007
2.4,-1,10200
2.4,2,12180
-1.7,3,9627
5.5,-2,5517
-1.2,0,9774
2.6,0,12158
1.3,1,16535
3.9,-2,7739
2.7,0,21534
2.3,1,20287
3.5,-4,24618
0.2,-1,13620
-2.9,1,12859
1.6,-2,15055
3.3,-1,12981
0.9,0,5273
-1.9,0,13499
0.9,-1,5000
-1.0,0,17988
-2.5,-1,11442
-0.8,-1,11368
-4.5,0,11609
0.3,-1,15161
-3.0,1,16403
1.6,-2,15941
0.8,0,12284
0.2,-2,12510
-1.7,0,12977
-2.2,2,19452
-1.7,1,17276
-0.5,1,14636
-0.6,1,9433
0.4,0,18142
1.8,-2,19977
-0.3,0,16925
1.2,-2,18887
0.0,0,19610
-0.2,1,18067
-2.2,2,3648
0.1,1,10655
-0.6,-1,22581
0.1,1,18083
-0.1,1,19896
0.4,-1,3142
-0.3,1,12990
0.5,-1,17161
0.4,0,18433
-0.3,-2,8722
1.7,-4,13807
0.2,0,22164
-2.4,1,7476
-0.6,-2,2900
-0.1,0,13355
-0.2,0,8879
0.1,0,3448
-0.6,0,15808
0.1,0,12782
-0.3,0,12547
-1.8,1,21646
-1.6,-1,19918
-0.3,0,15608
0.0,0,18551
0.4,-1,22217
0.0,0,21524
-0.2,0,16448
0.5,-1,13854
0.0,0,21139
0.0,0,15535
0.0,0,17423
0.0,0,17837
-0.1,0,18848
0.0,0,16098
0.0,0,19634
0.0,0,17548
-0.2,-1,5491
-0.2,0,16291
-1.0,0,21735
-5.8,1,14111
-2.0,0,17062
0.4,-1,11470
-0.7,0,7870
-4.2,-3,14968
-1.0,0,21538
0.0,-1,16953
-0.5,-3,14942
-4.4,2,15694
-1.8,0,11287
-0.4,-1,4243
-3.5,0,1433
-2.8,0,3411
-4.9,-1,20503
-5.9,0,19514
-5.1,0,15905
-5.8,-2,8259
-7.2,1,15271
-9.8,-2,14523
-5.5,-1,19864
-19.6,5,7304
-13.8,-1,19181
