num_innings_LF,UZR_LF,playerid
122.2,2.5,14712
229.0,3.3,15274
285.1,0.9,18042
235.2,3.0,19928
332.1,3.3,14352
407.1,3.8,10950
1105.0,6.7,15711
247.2,3.7,19346
60.2,2.3,19918
253.0,2.1,14329
75.1,2.1,19533
78.1,0.5,11339
247.1,2.4,6184
952.0,4.5,14350
177.2,2.8,14477
29.0,1.2,14551
17.0,1.2,16446
1074.2,1.2,2136
217.0,-0.4,15362
17.0,1.2,15082
83.0,1.4,4866
249.2,2.1,19599
79.1,0.5,15794
68.1,0.9,10199
40.2,-0.1,21454
98.0,2.5,18171
139.2,1.5,15490
230.1,2.3,13675
125.2,1.3,15194
407.0,-0.3,22168
98.2,0.1,19600
162.0,2.1,19348
317.2,3.2,16429
10.0,0.2,13546
24.2,-0.2,19635
24.0,0.4,19522
31.0,0.5,14735
27.0,0.5,10700
240.0,0.9,14567
170.0,0.6,13757
37.1,-0.1,3353
42.2,1.0,10322
70.1,0.9,5497
21.1,0.2,21558
141.2,0.0,12180
8.0,0.4,19552
22.1,0.9,12005
65.2,0.1,12325
7.0,0.2,21562
9.0,0.3,14140
43.0,-0.6,18721
29.2,0.2,12037
3.0,0.1,18395
33.0,0.5,12927
19.1,0.3,10030
8.0,0.5,24617
17.0,0.2,9112
41.2,-0.8,3298
16.0,0.1,22165
12.0,0.0,19667
18.1,0.2,16623
19.0,0.3,21614
5.0,0.1,19872
27.0,0.0,16426
1.0,,15170
7.1,0.2,20332
83.2,0.9,5384
3.0,0.1,12174
41.2,0.7,10323
168.2,0.4,14111
14.0,0.0,19528
9.0,0.1,13324
23.0,0.1,12858
21.1,-0.1,11379
2.0,0.1,14678
28.1,0.2,17273
5.0,0.1,16442
40.0,1.8,15730
25.1,0.4,11615
84.1,0.1,19698
6.0,0.1,13254
17.0,0.2,11281
17.0,0.1,20047
25.2,-0.4,19818
31.0,0.2,21560
9.1,0.3,20321
59.1,-0.4,19643
2.1,0.0,14453
3.1,,20003
4.0,0.0,15104
13.0,-0.4,17719
16.1,0.0,20308
18.1,0.2,5223
88.1,1.9,12984
3.0,0.0,14103
1.0,0.0,20233
0.0,,6547
0.0,,11241
2.0,,13854
2.0,0.0,16357
2.0,,19953
0.2,0.2,12970
4.0,0.0,21127
0.1,,11470
28.2,0.2,13768
3.0,,12719
3.0,,14109
3.0,,16885
3.0,0.1,18067
5.0,0.0,3892
1.0,,11609
1.0,0.0,13593
1.0,0.0,17975
1.0,,19755
1.0,,19858
1.0,,20536
6.2,0.0,16271
1.1,,9952
4.2,,16686
1.2,,14388
5.1,0.0,12198
5.0,0.0,19878
2.0,-0.1,14813
2.0,,19867
9.0,,18819
2.1,0.0,11859
