"Name","Team","G","playerid"
"Josh Lowe","TBR","2","19953"
"Mario Feliciano","MIL","1","20263"
"Jakson Reetz","WSN","2","17837"
"Ali Sanchez","STL","2","18551"
"Seth Beer","ARI","5","20493"
"Trayce Thompson","CHC","15","9952"
"Tyler Nevin","BAL","6","17893"
"Mike Trout","LAA","36","10155"
"Bryce Harper","PHI","141","11579"
"Chris Owings","COL","21","10030"
"Nick Fortes","MIA","14","21538"
"Estevan Florial","NYY","11","19151"
"Juan Soto","WSN","151","20123"
"Vladimir Guerrero Jr.","TOR","161","19611"
"Byron Buxton","MIN","61","14161"
"Oneil Cruz","PIT","2","21711"
"Luis Gonzalez","CHW","6","20332"
"Ronald Acuna Jr.","ATL","82","18401"
"Taylor Davis","PIT","2","12782"
"Brandon Belt","SFG","97","10264"
"Jesse Winker","CIN","110","13590"
"Frank Schwindel","- - -","64","15351"
"Fernando Tatis Jr.","SDP","130","19709"
"Yasmani Grandal","CHW","93","11368"
"Jose Siri","HOU","21","17452"
"Luis Robert","CHW","68","20043"
"Shohei Ohtani","LAA","158","19755"
"Ivan Castillo","SDP","3","15971"
"Kyle Schwarber","- - -","113","16478"
"Joey Votto","CIN","129","4314"
"Nick Castellanos","CIN","138","11737"
"Corey Seager","LAD","95","13624"
"Aaron Judge","NYY","148","15640"
"Andy Burns","LAD","9","12779"
"Trea Turner","- - -","148","16252"
"Bryan Reynolds","PIT","159","19326"
"Ketel Marte","ARI","90","13613"
"Darin Ruf","SFG","117","9929"
"John Hicks","TEX","10","12547"
"Tyler O'Neill","STL","138","15711"
"C.J. Cron","COL","142","12546"
"Kyle Tucker","HOU","140","18345"
"George Springer","TOR","78","12856"
"Austin Riley","ATL","160","18360"
"Freddie Freeman","ATL","159","5361"
"Buster Posey","SFG","113","9166"
"Max Muncy","LAD","144","13301"
"Matt Olson","OAK","156","14344"
"Brandon Crawford","SFG","138","5343"
"Connor Wong","BOS","6","19896"
"Greg Allen","NYY","15","16623"
"A.J. Pollock","LAD","117","9256"
"Paul Goldschmidt","STL","158","9218"
"Patrick Kivlehan","SDP","5","13910"
"Rafael Devers","BOS","156","17350"
"Jose Ramirez","CLE","152","13510"
"Cedric Mullins II","BAL","159","17929"
"Mitch Garver","MIN","68","15161"
"Giancarlo Stanton","NYY","139","4949"
"Yordan Alvarez","HOU","144","19556"
"Brandon Nimmo","NYM","92","12927"
"Teoscar Hernandez","TOR","143","13066"
"Xander Bogaerts","BOS","144","12161"
"Marcus Semien","TOR","162","12533"
"Garrett Cooper","MIA","71","15279"
"Connor Joe","COL","63","16572"
"Mookie Betts","LAD","122","13611"
"Rhys Hoskins","PHI","107","16472"
"Starling Marte","- - -","120","9241"
"J.D. Martinez","BOS","148","6184"
"Will Smith","LAD","130","19197"
"Carlos Correa","HOU","148","14162"
"Brandon Lowe","TBR","149","18882"
"Yuli Gurriel","HOU","143","19198"
"Jonathan India","CIN","150","21523"
"Pete Alonso","NYM","152","19251"
"Austin Allen","OAK","4","18083"
"Salvador Perez","KCR","161","7304"
"Mike Zunino","TBR","109","13265"
"Justin Turner","LAD","151","5235"
"Luke Maile","MIL","15","13355"
"J.D. Davis","NYM","73","16219"
"Jared Walsh","LAA","144","18607"
"Jose Altuve","HOU","146","5417"
"Kris Bryant","- - -","144","15429"
"Matt Vierling","PHI","34","21558"
"Rafael Ortega","CHC","103","10323"
"Adam Engel","CHW","39","15082"
"Franmil Reyes","CLE","115","14566"
"Jose Abreu","CHW","152","15676"
"Bo Bichette","TOR","159","19612"
"Ty France","SEA","152","17982"
"Alfonso Rivas","CHC","18","21560"
"Josh Donaldson","MIN","135","5038"
"Delino DeShields","CIN","25","11379"
"Evan Longoria","SFG","81","9368"
"Gavin Sheets","CHW","54","19901"
"Josh Bell","WSN","144","13145"
"Tony Kemp","OAK","131","14894"
"Jonathan Lucroy","- - -","7","7870"
"Alex De Goti","HOU","2","19477"
"Manny Machado","SDP","153","11493"
"Randy Arozarena","TBR","141","19290"
"Willy Adames","- - -","140","15986"
"Jorge Polanco","MIN","152","13152"
"Joey Gallo","- - -","153","14128"
