PA,wOBA,UBR,wGDP,SB,CS,1B,BB,HBP,IBB,playerid
10,.570,-0.1,0.0,0,0,2,1,0,0,20493
35,.453,0.0,-0.2,2,0,2,7,0,0,9952
18,.452,0.2,0.0,0,0,1,4,0,0,17893
146,.451,0.7,0.6,2,0,22,27,2,5,10155
599,.431,-2.5,-0.8,13,3,73,100,5,14,11579
50,.431,0.5,0.1,2,1,6,7,0,1,10030
34,.426,-0.1,0.0,1,0,5,3,0,0,21538
25,.423,-0.2,0.0,1,0,3,5,0,0,19151
654,.420,0.5,-1.9,9,7,106,145,2,23,20123
698,.419,-0.1,-1.7,4,1,110,86,6,7,19611
254,.419,1.9,1.3,9,1,30,13,6,0,14161
11,.414,-0.1,-0.3,0,0,0,3,0,0,20332
360,.412,2.2,1.0,17,6,40,49,9,2,18401
381,.406,-1.3,-0.2,3,2,44,48,7,3,10264
485,.403,-5.3,-0.9,1,0,72,53,9,1,13590
259,.403,-1.3,0.6,2,1,44,16,1,2,15351
546,.403,5.1,1.3,25,4,62,62,2,6,19709
375,.402,-2.8,-1.5,0,0,35,87,3,0,11368
49,.401,-0.2,0.2,3,1,9,1,2,0,17452
296,.399,0.7,0.2,6,1,57,14,5,1,20043
639,.393,0.4,1.6,26,10,58,96,4,20,19755
471,.392,-1.8,0.8,1,1,55,64,6,1,16478
533,.391,0.0,0.7,1,0,59,77,4,6,4314
585,.391,0.1,-0.3,3,1,91,41,7,5,11737
409,.389,-0.7,-0.6,1,1,67,48,5,2,13624
633,.387,-0.4,0.1,6,1,95,75,3,2,15640
15,.386,0.0,-0.1,0,0,2,3,1,0,12779
646,.386,3.3,-2.0,32,5,130,41,6,2,16252
646,.385,2.6,0.8,5,2,102,75,8,9,19326
374,.385,0.4,-0.9,2,0,64,31,2,3,13613
312,.384,-0.6,-0.5,2,0,40,46,3,2,9929
31,.384,0.2,0.0,0,0,3,0,0,0,12547
537,.384,3.3,0.5,15,4,76,38,13,0,15711
547,.383,-2.7,-0.2,1,0,72,60,13,3,12546
567,.383,0.0,0.9,14,2,79,53,1,5,18345
342,.381,-1.4,0.1,4,1,37,37,4,1,12856
662,.379,-3.2,0.1,0,1,112,52,12,2,18360
695,.379,2.7,0.9,8,3,122,85,8,15,5361
454,.379,-0.6,-1.9,0,0,79,56,1,5,9166
592,.379,1.1,1.5,2,1,60,83,11,5,13301
673,.379,1.9,-1.7,4,1,79,88,9,12,14344
549,.377,-1.5,1.4,11,3,87,56,5,6,5343
14,.376,0.2,0.0,0,0,2,1,0,0,19896
48,.375,0.7,0.1,5,0,5,5,5,0,16623
422,.375,-1.0,0.6,9,1,65,30,6,4,9256
679,.373,0.5,0.0,12,0,108,67,4,2,9218
664,.373,1.8,-0.1,5,5,89,62,7,7,17350
636,.372,2.5,0.6,27,4,74,72,7,10,13510
675,.372,0.4,2.3,30,8,103,59,8,3,17929
243,.372,0.1,0.2,1,1,25,31,3,0,15161
579,.370,-3.6,-2.9,0,0,85,63,3,1,4949
598,.369,2.1,-1.3,1,0,80,50,8,3,19556
386,.369,-0.7,0.9,5,4,67,54,5,0,12927
595,.369,0.3,1.8,12,4,102,36,7,1,13066
603,.368,1.2,0.0,5,1,98,62,5,2,12161
724,.368,1.4,0.6,15,1,87,66,3,0,12533
250,.367,-3.2,-0.3,1,1,41,30,4,0,15279
211,.366,0.7,0.6,0,0,34,26,3,0,16572
550,.365,-1.2,0.6,10,5,68,68,11,2,13611
443,.364,-1.4,0.5,3,2,40,47,5,0,16472
526,.364,3.9,1.6,47,5,103,43,13,2,9241
634,.364,-1.5,-1.1,0,0,90,55,3,6,6184
501,.364,-1.4,0.3,3,0,61,58,18,4,19197
640,.364,1.0,-1.0,0,0,94,75,4,2,14162
615,.363,2.6,1.8,7,1,62,68,9,4,18882
605,.363,0.5,-1.3,1,1,123,59,4,2,19198
631,.363,-0.5,-0.9,12,3,86,71,23,1,21523
637,.363,-4.6,-0.6,3,0,80,60,12,6,19251
665,.359,-1.1,0.6,1,0,97,28,13,4,7304
375,.358,0.9,-0.1,0,0,26,34,7,0,13265
612,.358,-1.6,0.6,3,0,99,61,12,0,5235
34,.358,0.3,-0.1,0,0,5,3,1,0,13355
211,.357,0.0,0.4,1,0,34,24,6,1,16219
585,.357,-1.9,1.3,2,1,83,48,4,6,18607
678,.357,3.0,0.3,5,3,103,66,4,3,5417
586,.356,3.5,1.2,10,2,77,62,9,4,15429
77,.356,0.3,0.0,2,0,17,4,1,1,21558
330,.355,0.2,0.5,12,6,59,30,2,1,10323
140,.354,0.8,-0.7,7,1,15,11,5,0,15082
466,.354,-4.3,-1.5,4,1,56,43,2,3,14566
659,.354,-0.7,-3.4,1,0,86,61,22,3,15676
690,.354,2.4,0.5,25,1,131,40,6,0,19612
650,.353,-1.4,-0.7,0,0,115,46,27,1,17982
49,.353,0.0,-0.1,0,0,12,4,1,0,21560
543,.353,-0.6,-3.2,0,0,61,74,4,2,5038
58,.352,0.2,0.4,2,1,6,9,0,0,11379
291,.352,0.0,-1.3,1,1,36,35,1,4,9368
179,.352,-1.9,0.1,0,0,21,16,2,0,19901
568,.352,-3.3,-2.2,0,0,78,65,2,2,13145
397,.351,1.8,1.7,8,2,65,52,6,0,14894
23,.351,-0.3,0.1,0,0,5,3,0,0,7870
640,.350,-3.1,0.4,12,3,96,63,2,10,11493
604,.350,1.7,0.5,20,10,90,56,14,4,19290
555,.349,0.9,0.4,5,4,72,57,0,1,15986
644,.349,2.0,1.9,11,6,88,45,5,0,13152
616,.348,1.9,1.6,6,0,47,111,6,5,14128
308,.348,2.1,1.3,2,1,51,24,2,0,23667
616,.347,0.3,0.9,3,2,89,84,10,1,17232
179,.347,-0.2,-0.6,0,0,20,25,3,1,8722
