num_innings_RF,UZR_RF,playerid
448.0,7.1,19287
183.0,4.3,19599
785.2,5.4,12144
764.2,2.8,14128
138.0,5.7,15794
310.0,3.3,14735
537.0,3.9,10950
145.0,2.9,21501
656.2,-0.9,14712
784.0,7.5,4940
360.0,4.6,19363
131.2,2.7,19643
330.1,5.5,10243
71.0,1.1,15082
78.1,1.7,19918
12.1,0.5,17975
16.2,1.8,20332
91.1,1.7,13744
662.1,3.6,18401
105.0,1.7,12984
29.2,1.8,9929
132.0,1.6,15482
347.1,2.3,16221
1007.0,7.8,5760
124.0,2.0,16375
357.2,4.4,15654
167.0,1.3,16442
11.0,2.0,20233
144.2,1.3,20220
8.0,0.6,12399
175.0,0.3,19600
28.2,0.3,15730
115.0,0.2,4866
16.0,0.0,21558
93.0,2.1,16153
36.0,-0.3,17478
12.1,0.3,18288
23.1,0.5,13546
6.0,0.4,15937
12.0,-0.3,13910
22.0,0.7,10762
6.0,0.6,19667
130.1,1.3,19348
135.0,-0.2,12434
101.1,0.3,21614
49.1,0.6,21622
21.0,0.4,15994
11.1,0.2,16192
16.0,0.3,20536
11.0,0.2,11339
9.0,0.1,19615
10.0,0.4,18027
32.0,0.2,16285
17.0,-0.1,14350
19.0,0.1,5223
23.2,0.3,13768
117.0,0.7,18063
7.0,,17750
11.0,0.4,18425
1.0,,16041
6.0,0.1,12856
4.0,-0.3,17321
8.0,0.0,12198
3.0,0.1,14453
77.1,0.1,15274
7.0,-0.3,2967
7.0,0.0,19552
7.1,0.1,19755
1.0,0.0,14843
1.0,0.3,17098
1.0,0.1,18395
0.2,,16686
1.0,0.0,10953
1.0,,11338
1.0,,12155
1.0,,16256
1.0,,16852
1.0,,17276
1.0,,20047
3.0,,15170
3.0,0.0,16337
3.1,0.2,17216
5.0,0.0,19170
46.1,-0.2,17273
3.0,-0.4,19683
5.0,0.0,14109
5.0,-0.4,16429
344.1,-0.8,19913
3.1,,11477
60.0,-0.1,13770
7.0,0.4,19953
6.0,0.0,16426
9.0,0.5,14329
4.0,0.0,13012
39.2,-0.8,15998
7.0,0.4,5751
5.0,-0.1,20034
7.0,-0.1,19931
7.0,0.0,27461
7.0,,8202
8.1,0.0,18316
18.0,0.2,21562
28.1,-0.2,14352
13.0,0.0,10199
9.0,0.0,11476
19.2,0.6,17723
472.0,0.0,18171
2.0,0.1,3298
24.0,0.0,20308
6.0,-0.1,20321
10.0,-0.8,14567
3.0,-0.2,12037
15.0,-0.3,15767
2.2,-0.2,17719
343.0,0.5,18126
65.0,-0.9,19968
18.0,0.5,22558
5.2,-0.2,19956
11.0,-0.4,12719
183.1,0.8,13675
18.0,0.3,5497
37.0,-0.9,21560
15.2,-0.7,13590
20.2,-0.2,5486
2.0,-1.2,18360
9.0,-0.2,16042
52.0,0.2,19872
49.2,-0.1,4062
63.0,-1.3,19346
28.0,-0.3,12225
32.2,0.0,22168
332.0,-1.2,14553
8.0,-0.4,13145
151.1,-0.3,19709
181.0,1.6,21454
2.1,-0.5,19635
26.0,0.2,18136
86.1,0.9,19334
50.1,-0.5,3353
49.0,-0.4,19818
42.0,-0.2,17452
100.0,0.7,11281
18.0,-1.0,10700
58.2,-0.4,17326
17.0,-0.7,8553
174.2,-1.2,11445
61.2,-1.0,16729
42.0,0.3,17932
205.2,-0.3,11899
69.2,-0.3,17954
15.1,-0.3,13602
25.0,-0.4,17023
6.0,-0.4,15608
69.2,0.9,13757
31.1,-0.8,11615
54.0,-0.2,5667
63.0,0.2,16939
235.0,0.2,5913
244.0,-0.4,15191
175.0,-0.9,15194
3.0,,19955
19.0,-0.6,10030
80.2,-0.4,19354
62.0,0.0,11481
16.0,-1.1,22871
113.2,-1.0,19928
8.0,-0.7,16446
71.0,0.5,17128
1226.0,2.2,20123
41.1,-0.3,15124
58.2,-0.4,16623
52.0,-0.1,6184
117.0,-0.4,19252
