num_innings_SS,UZR_SS,playerid
1233.2,5.2,19339
1029.1,-0.1,12916
1028.0,0.2,12147
1091.2,-0.1,10847
1165.2,2.6,5343
1304.2,2.9,14162
1246.1,-0.4,8709
1372.0,1.1,18314
1412.1,0.8,15491
1008.2,1.6,14813
1074.1,6.4,17696
1048.0,-0.9,15172
388.1,1.0,16417
873.0,4.6,18015
842.1,-7.5,19709
534.1,-2.0,12092
518.0,0.5,17022
992.2,-6.1,10231
1073.0,4.8,7802
834.2,0.0,12979
322.1,1.7,19950
817.2,2.6,16252
1019.2,1.7,15518
1271.1,-5.2,19612
198.2,2.6,13853
333.1,2.3,11400
260.0,0.7,27506
1360.0,1.2,16512
98.0,-0.6,21479
199.0,1.0,10071
1175.0,3.6,12564
326.2,1.1,18036
543.0,0.3,23667
118.1,0.1,1159
378.0,0.9,22458
65.0,0.1,23378
82.1,0.0,13769
132.0,-1.0,16426
91.0,0.8,20275
58.0,0.3,14145
200.0,-0.2,10681
75.0,0.3,16337
153.2,0.1,13757
151.1,-0.3,16530
503.1,-0.7,6310
85.0,-0.3,5497
803.0,-3.4,13624
39.0,1.2,19432
156.1,1.3,5913
33.0,-0.2,13185
10.0,0.0,19314
22.0,0.0,7927
58.0,0.2,18027
25.1,1.3,2539
16.0,0.4,17642
14.0,0.1,13325
1169.0,2.3,12161
6.0,0.3,18289
156.2,-1.6,17338
9.0,0.1,10030
37.0,0.2,10472
81.1,0.5,22799
75.0,0.1,11241
101.1,1.3,11902
2.0,0.1,14894
55.0,0.5,14773
15.0,,6547
18.0,-0.1,18042
195.0,0.4,18889
17.2,-0.3,8418
8.0,-0.2,24655
6.0,0.1,8623
4.0,-0.2,16505
7.0,,14515
1.0,0.2,12198
4.0,0.0,19966
9.0,,13595
2.0,0.2,16434
8.0,0.1,12037
5.0,0.0,4579
145.0,-0.8,17992
3.0,,20352
2.0,,6153
2.0,,10556
2.0,0.0,21562
1.0,0.0,4962
1.0,,5933
1.0,,13593
0.1,,12325
0.1,,16271
16.0,0.5,16357
1150.0,2.6,15986
25.1,,3298
28.1,0.3,20056
30.2,0.3,13836
26.0,0.1,19470
21.0,-0.9,19262
88.0,-0.5,15402
40.1,-0.2,15191
648.1,0.6,6609
81.0,1.2,13167
57.2,-0.2,16451
163.2,1.7,17907
58.0,-0.8,17684
18.0,-0.1,21711
59.1,-0.7,15937
57.0,-1.3,8202
2.0,-0.2,15429
134.0,1.0,12533
29.0,0.2,14320
227.0,2.4,19858
38.2,0.0,20036
471.1,-2.1,19955
139.1,1.0,15730
120.0,-1.8,17273
100.1,-0.7,13369
18.0,-0.4,19931
236.2,-1.9,13152
32.0,-1.0,13324
291.0,1.5,14691
101.0,-1.3,14885
29.0,-0.8,20540
915.2,-2.6,16997
180.1,-0.8,14196
144.2,-0.8,21635
344.1,-1.6,18795
535.2,-3.8,16622
262.2,-1.4,17736
68.1,-1.8,20391
116.2,-0.9,17326
399.0,-1.7,19562
283.0,-4.2,19734
278.0,-3.1,20454
285.1,-2.3,12552
848.1,-2.6,6012
