PA_DH,playerid
12,785
8,1177
43,1433
341,1744
4,2136
77,2396
572,2434
14,2967
208,3086
4,3142
3,3298
8,3516
131,4106
12,4220
13,4314
200,4418
1,4866
467,4949
8,4962
145,5038
4,5222
17,5235
34,5254
2,5273
23,5409
4,5417
14,5452
6,5497
10,5827
486,6184
163,7304
4,7739
5,7859
7,8090
1,8418
5,8722
90,9112
5,9166
17,9218
20,9345
14,9627
11,9774
9,9777
39,9785
5,9847
4,9874
7,9929
4,10030
5,10047
51,10243
8,10322
29,10556
23,10762
11,10953
14,11200
1,11241
65,11265
10,11281
19,11342
37,11368
4,11379
20,11442
23,11445
18,11477
4,11489
15,11493
9,11579
5,11737
14,11739
5,11899
11,11902
8,11936
9,11982
4,12092
21,12144
23,12155
4,12158
25,12161
43,12164
12,12179
3,12371
4,12399
5,12533
10,12546
7,12547
4,12564
14,12649
1,12758
12,12775
170,12856
9,12858
4,12859
3,12861
4,12950
42,13066
22,13145
35,13152
4,13167
4,13301
5,13324
23,13329
4,13338
5,13367
3,13419
12,13499
77,13510
23,13590
30,13621
62,13744
18,13769
18,13807
3,14103
44,14111
60,14128
12,14130
5,14140
195,14221
151,14274
1,14330
16,14344
9,14387
4,14388
1,14477
25,14503
16,14523
84,14551
26,14553
424,14566
4,14567
13,14593
1,14691
1,14712
1,14735
54,14811
1,15104
38,15117
286,15149
8,15161
5,15191
15,15194
4,15223
1,15274
9,15279
28,15351
5,15362
3,15464
2,15487
12,15518
93,15640
10,15653
257,15672
79,15676
76,15679
3,15694
4,15711
19,15767
2,15808
227,15905
21,15937
9,15986
1,16153
4,16219
1,16221
3,16376
14,16403
3,16424
1,16434
106,16442
14,16448
4,16472
61,16478
4,16512
3,16524
13,16572
20,16578
1,16686
11,16909
3,16925
8,16930
1,16947
6,17027
20,17128
26,17232
20,17278
20,17338
16,17350
253,17423
77,17484
3,17710
1,17723
49,17766
120,17838
4,17919
14,17929
3,17954
108,17982
4,18054
1,18136
2,18142
18,18171
20,18345
1,18353
167,18373
18,18568
67,18819
15,18839
68,18848
44,18881
14,18882
12,19181
15,19197
5,19198
53,19238
13,19251
5,19252
20,19260
52,19287
82,19290
19,19294
4,19314
5,19326
1,19331
5,19346
9,19348
17,19352
4,19432
6,19508
4,19521
30,19533
424,19556
30,19566
4,19599
120,19611
49,19612
43,19627
6,19709
4,19710
560,19755
80,19901
1,19928
1,19997
4,20043
9,20123
4,20242
7,20308
8,20493
1,20536
11,21538
1,22168
10,22275
30,22581
14,24655
17,26197
38,27459
